Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Approximate Volume Released (m3),Substance,SubstanceCategory,Release Type,Year,What Happened?,Why it Happened?,Pipeline Phase,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2008-001,Release of Substance,02-01-2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,Yes,No,No,No,8,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Internal Corrosion,Maintenance,Operation,,
INC2008-004,Release of Substance,23-01-2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,Yes,No,No,No,100,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,Maintenance,Operation,,
INC2008-008,Release of Substance,29-01-2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.012,-122.694333,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Material Defect,Maintenance,Operation,,
INC2008-009,"Release of Substance, Adverse Environmental Effects",29-01-2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14377,-120.51605,No,No,No,No,Not Provided,Potassium Hydroxide (caustic solution),Miscellaneous,Miscellaneous,2008,Equipment Failure,"Maintenance, Standards and Procedures, Tools and Equipment",Operation,,
INC2008-016,Release of Substance,23-02-2008,Beiseker,Alberta,Foothills Pipe Lines Ltd.,Closed,51.385029,-113.535263,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Material Defect,Maintenance,Operation,,
INC2008-018,Release of Substance,25-02-2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20739,-101.48731,Yes,No,No,No,100,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Incorrect Operation,Standards and Procedures,construction,,
INC2008-020,Release of Substance,03-03-2008,Dryden,Ontario,TransCanada PipeLines Limited,Closed,49.7894,-92.76549,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Cracking ,Maintenance,Operation,,
INC2008-021,Release of Substance,03-03-2008,Smooth Rock Falls,Ontario,TransCanada PipeLines Limited,Closed,49.30391,-82.04386,No,No,Yes,No,18,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,,
INC2008-027,Release of Substance,14-03-2008,Rapid City,Manitoba,TransCanada PipeLines Limited,Closed,50.07673,-99.99864,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Cracking ,Maintenance,Operation,,
INC2008-034,Release of Substance,01-04-2008,Haileybury,Ontario,TransCanada PipeLines Limited,Closed,47.44678,-79.76267,No,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Cracking ,Engineering and Planning,Operation,,
