Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Pipeline Phase,Approximate Volume Released (m³),Substance,Release Type,Year,WhatHappened,WhyItHappened,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2007-097,Release of Substance,1/2/2008,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Closed,54.84,-118.65,Operation,Not Provided,Natural Gas - Sweet,Gas,2008,Corrosion & Cracking,Maintenance,0,Pipeline
INC2008-001,Release of Substance,1/2/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,Operation,8,Crude Oil - Sweet,Liquid,2008,Corrosion & Cracking,Maintenance,1,
INC2008-004,Release of Substance,1/23/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,Operation,100,Crude Oil - Sweet,Liquid,2008,Equipment Failure,Maintenance,1,
INC2008-008,Release of Substance,1/29/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.012,-122.694333,Operation,Not Provided,Natural Gas - Sweet,Gas,2008,Defect & Deterioration,Maintenance,1,Pipeline
INC2008-009,"Release of Substance,Adverse Environmental Effects",1/29/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14377,-120.51605,Operation,Not Provided,Potassium Hydroxide (caustic solution),Miscellaneous,2008,Equipment Failure,"Maintenance,Standards and Procedures,Tools and Equipment",1,
INC2008-016,Release of Substance,2/23/2008,Beiseker,Alberta,Foothills Pipe Lines Ltd.,Closed,51.385029,-113.535263,Operation,Not Provided,Natural Gas - Sweet,Gas,2008,Defect & Deterioration,Maintenance,1,
INC2008-018,Release of Substance,2/25/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20739,-101.48731,Construction,100,Natural Gas - Sweet,Gas,2008,Incorrect Operation,Standards and Procedures,1,
INC2008-020,Release of Substance,3/3/2008,Dryden,Ontario,TransCanada PipeLines Limited,Closed,49.7894,-92.76549,Operation,Not Provided,Natural Gas - Sweet,Gas,2008,Corrosion & Cracking,Maintenance,1,Pipeline
INC2008-021,Release of Substance,3/3/2008,Smooth Rock Falls,Ontario,TransCanada PipeLines Limited,Closed,49.30391,-82.04386,Operation,18,Natural Gas - Sweet,Gas,2008,Equipment Failure,Maintenance,0,
INC2008-027,Release of Substance,3/14/2008,Rapid City,Manitoba,TransCanada PipeLines Limited,Closed,50.07673,-99.99864,Operation,Not Provided,Natural Gas - Sweet,Gas,2008,Corrosion & Cracking,Maintenance,1,Pipeline
INC2008-030,Fatality,3/24/2008,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.92095,-109.17023,Maintenance,Not Applicable,Not Applicable,Not Applicable,2008,"External Interference,Incorrect Operation",Inadequate Supervision,0,
INC2008-034,Release of Substance,4/1/2008,Haileybury,Ontario,TransCanada PipeLines Limited,Closed,47.44678,-79.76267,Construction,Not Provided,Natural Gas - Sweet,Gas,2008,Corrosion & Cracking,Engineering and Planning,0,
INC2008-037,Release of Substance,4/18/2008,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.80823,-94.18954,Maintenance,Not Provided,Natural Gas - Sweet,Gas,2008,Defect & Deterioration,"Human Factors,Tools and Equipment",1,
INC2008-039,Release of Substance,4/21/2008,Regina,Saskatchewan,"Plains Marketing Canada, L.P.",Closed,50.48057,-104.56646,Operation,4,Crude Oil - Sweet,Liquid,2008,Equipment Failure,Maintenance,1,
INC2008-040,Release of Substance,4/25/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.27973,-120.96341,Operation,Not Provided,Natural Gas - Sour,Gas,2008,Defect & Deterioration,"Failure in communication,Human Factors",1,
INC2008-041,Release of Substance,4/25/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.33867,-121.87115,Maintenance,Not Provided,Natural Gas - Sour,Gas,2008,Equipment Failure,Maintenance,1,
INC2008-043,Fire,5/1/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73115,-101.2355,Maintenance,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Maintenance,0,
INC2008-045,Release of Substance,5/6/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63826,-108.3544,Operation,9.4,Crude Oil - Sweet,Liquid,2008,Defect & Deterioration,Standards and Procedures,1,
INC2008-048,Release of Substance,5/12/2008,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48386,-104.61447,Operation,7,Crude Oil - Sweet,Liquid,2008,Equipment Failure,"Engineering and Planning,Maintenance",1,
INC2008-052,Fire,5/21/2008,Emerson,Manitoba,TransCanada PipeLines Limited,Closed,49.00106,-97.05547,Operation,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,1,Pipeline
INC2008-055,Adverse Environmental Effects,5/31/2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.47564,-120.37265,Operation,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,0,
INC2008-056,Release of Substance,6/5/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5431,-113.35401,Operation,8,Crude Oil - Sweet,Liquid,2008,Equipment Failure,Maintenance,1,
INC2008-057,Release of Substance,6/6/2008,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87378,-79.57985,Operation,270,Natural Gas - Sweet,Gas,2008,Corrosion & Cracking,Standards and Procedures,1,
INC2008-058,Adverse Environmental Effects,6/9/2008,Not specified,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.21594,-66.71029,Construction,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,1,
INC2008-060,Release of Substance,6/12/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91204,-98.51757,Operation,Not Provided,Natural Gas - Sweet,Gas,2008,Equipment Failure,Maintenance,1,Pipeline
INC2008-062,Fire,6/24/2008,Moyie,British Columbia,TransCanada PipeLines Limited,Closed,49.28795,-115.83383,Operation,Not Applicable,Not Applicable,Not Applicable,2008,External Interference,Standards and Procedures,1,Pipeline
INC2008-063,Fatality,6/25/2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63833,-108.35487,Construction,Not Applicable,Not Applicable,Not Applicable,2008,Incorrect Operation,"Human Factors,Inadequate Supervision,Standards and Procedures",0,
INC2008-067,Release of Substance,7/6/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54745,-113.35577,Operation,40,Crude Oil - Synthetic,Liquid,2008,Incorrect Operation,Maintenance,1,
INC2008-070,Release of Substance,7/17/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20731,-101.48747,Operation,Not Provided,Natural Gas - Sweet,Gas,2008,Defect & Deterioration,Human Factors,1,Pipeline
