IncidentNumber,Latitude,Longitude,ApproximateVolumeM3,ReportedDate,ReportedYear,IncidentType_EN_LIST,IncidentStatus_EN,CompanyName_EN,NearestPopulationCenter_EN,ProvinceName_EN,SubstanceName_EN,ReleaseType_EN,PipelinePhase_EN,WerePipelineSystemComponentsInvolved,PipelineComponent_EN_LIST,WhatHappened_EN_LIST,WhyItHappened_EN_LIST
INC2017-202,56.78078388,-122.32382739,13399.5900,2017-12-30T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",dawson creek ,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-201,54.04370807,-117.42054229,0.0100,2017-12-27T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-198,56.14630285,-120.66916931,0.9400,2017-12-13T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor BC,British Columbia,Propane,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-197,51.40840045,-113.6557044,0.0100,2017-12-13T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Irricana,Alberta,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-196,52.72947567,-122.44197649,1800.0000,2017-12-09T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Quesnel,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-195,54.17428,-116.67335,0.0100,2017-12-06T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-194,54.04370807,-117.42054229,0.0100,2017-12-06T00:00:00,2017,Release of Substance,Initially Submitted,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,To be determined,To be determined
INC2017-192,56.14630285,-120.66916931,255.0000,2017-11-27T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Natural Gas - Sour,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-191,49.95917767,-120.91602779,2500.0000,2017-11-27T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
INC2017-190,49.95917767,-120.91602779,2500.0000,2017-11-26T00:00:00,2017,Release of Substance,Initially Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,To be determined,To be determined
