Incidents,Latitude,Longitude,Volume approx. rejeté,Date/année du signalement,Type d’incident,État,Société,Centre de population le plus près,Provinces,Substance, Type de rejet,Étape du cycle de vie,Des composantes du réseau ont-elles été en cause?,Composantes en cause,Ce qui s’est passé,Causes
INC2017-202,56.78078388,-122.32382739,13399.5900,2017-12-30T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",dawson creek ,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-201,54.04370807,-117.42054229,0.0100,2017-12-27T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-198,56.14630285,-120.66916931,0.9400,2017-12-13T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor BC,Colombie-Britannique,Propane,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-197,51.40840045,-113.6557044,0.0100,2017-12-13T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Irricana,Alberta,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-196,52.72947567,-122.44197649,1800.0000,2017-12-09T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Quesnel,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-195,54.17428,-116.67335,0.0100,2017-12-06T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-194,54.04370807,-117.42054229,0.0100,2017-12-06T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,À déterminer,À déterminer
INC2017-192,56.14630285,-120.66916931,255.0000,2017-11-27T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-191,49.95917767,-120.91602779,2500.0000,2017-11-27T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-190,49.95917767,-120.91602779,2500.0000,2017-11-26T00:00:00,Déversement de substance,Initialement Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Merritt,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-189,55.78756,-120.53231,1.0000,2017-11-23T00:00:00,Déversement de substance,Initialement Soumis,NOVA Gas Transmission Ltd.,Dawson Creek,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,À déterminer,À déterminer
INC2017-188,54.52823203,-118.15941793,1.0000,2017-11-23T00:00:00,Déversement de substance,Soumis,Alliance Pipeline Ltd.,Grande Prairie,Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Comptage,Défaillance d’équipement,Entretien
